CheckinId,UserName,Light,Smooth,Clean,Sweet,Woody,Zippy,Strong,Hoppy,Floral,Citrus,Milk,Dark,Creamy,Mouthfeel,Soft,Boozy,Caramel,Oatmeal,Dry,Malty,Piney,Grassy,Tart,Sour,Salty,Fruity,Heat,Bitter,Coffee,Roasty,Chocolate,Juicy,Funky,Acidic,Crushable,LocationName,LocationId,BeerId,BeerName,BeerRating
632389156,stevo817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1912945,Find the Lady,3.75
619469541,stevo817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High Hops Brewery,406003,395056,The Foot Warmer,4.75
619464555,stevo817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,High Hops Brewery,406003,2434841,Cordially Tart,4.5
619463503,stevo817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High Hops Brewery,406003,395031,Blueberry Wheat,3.5
619462278,stevo817,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,High Hops Brewery,406003,1658684,A Shot In the Dark,4.25
618734280,stevo817,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wibby Brewing,3489921,2658271,Wibby Pura Vida,3.5
618538608,stevo817,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1830553,Lightshine Radler,4.25
618535792,stevo817,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,2599059,Fugli (2018),4
441942758,stevo817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirby Ice House,4580625,1404667,American Monastic,4
438033718,stevo817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Revelry on Richmond,1865037,1815429,Bishop's Barrel No. 16,4
