"BeerId","BreweryName","BreweryURL","Style","ABV","IBU","BeerRating","TotalRatings","TotalCheckins","UniqueCheckins","MonthlyCheckins","Light","Smooth","Clean","Sweet","Woody","Zippy","Strong","Hoppy","Floral","Citrus","Milk","Dark","Creamy","Mouthfeel","Soft","Boozy","Caramel","Oatmeal","Dry","Malty","Piney","Grassy","Tart","Sour","Salty","Fruity","Heat","Bitter","Coffee","Roasty","Chocolate","Juicy","Funky","Acidic","Crushable"
55366,"Cambridge Brewing Company","/cambridgebrewing","Saison / Farmhouse Ale","4%","No",3.75,"1,153","1,480","1,333","9",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1713859,"Joe's American Bar & Grill","/w/joe-s-american-bar-grill/293891","Lager - Amber","5.2%","No",3.25,"267","312","308","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822219,"Brewery Ommegang","/breweryommegang","Belgian Strong Golden Ale","9.5%","No",3.75,"2,506","2,902","2,786","27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11517,"Sixpoint Brewery","/sixpoint","Pilsner - German","5.4%","44",3.5,"74,639","110,404","84,065","456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090528,"Burial Beer Co.","/BurialBeer","Blonde Ale - Belgian Blonde / Golden","6.2%","25",3.75,"4,183","5,245","4,839","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
355846,"Würzburger Hofbräu","/w/w-rzburger-hofbr-u/5211","Festbier","5.6%","No",3.75,"1,365","1,630","1,546","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256861,"Iron Hill Brewery & Restaurant","/IronHillBrewery","Pumpkin / Yam Beer","5.5%","30",3.75,"5,258","7,818","5,774","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78387,"Iron Hill Brewery & Restaurant","/IronHillBrewery","Märzen","5.8%","26",3.5,"3,028","4,124","3,416","1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26502,"Iron Hill Brewery & Restaurant","/IronHillBrewery","Porter - American","5.4%","37",3.75,"8,060","10,952","9,091","131",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2294796,"Iron Hill Brewery & Restaurant","/IronHillBrewery","Brown Ale - American","5.8%","No",3.75,"71","78","74","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
