"BeerId","BreweryName","BreweryURL","Style","ABV","IBU","BeerRating","TotalRatings","TotalCheckins","UniqueCheckins","MonthlyCheckins","Light","Smooth","Clean","Sweet","Woody","Zippy","Strong","Hoppy","Floral","Citrus","Milk","Dark","Creamy","Mouthfeel","Soft","Boozy","Caramel","Oatmeal","Dry","Malty","Piney","Grassy","Tart","Sour","Salty","Fruity","Heat","Bitter","Coffee","Roasty","Chocolate","Juicy","Funky","Acidic","Crushable"
1051305,"Jester King Brewery","/jesterking","Saison / Farmhouse Ale","6.4%","7",4,"4,701","6,165","5,378","50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172056,"Revolver Brewing","/RevolverBrewing","Pale Wheat Ale - American","7%","20",3.75,"53,802","99,890","59,973","877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129627,"DESTIHL Brewery","/destihl","IPA - American","6.3%","76",3.5,"16,435","21,058","18,145","173",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147822,"Buffalo Bayou Brewing","/buffbrew","Scotch Ale / Wee Heavy","9%","20",3.75,"3,148","4,454","3,590","5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236407,"(512) Brewing Company","/512Brewing","Porter - American","6.8%","No",4,"355","431","409","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85436,"Nebraska Brewing Company","/nebraskabrewingco","Stout - Russian Imperial","11.3%","67",4,"13,553","18,008","15,313","35",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
307298,"Virtue Cider","/VirtueCider","Cider - Other","6.8%","No",3.75,"7,535","9,887","8,680","49",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
991875,"Founders Brewing Co.","/foundersbrewing","Fruit Beer","9.2%","No",4,"38,287","49,868","41,748","61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800382,"Prairie Artisan Ales","/PrairieArtisanAles","Stout - Milk / Sweet","5.65%","15",3.5,"14,997","19,181","16,454","4",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
996616,"Brazos Valley Brewing","/BrazosValleyBrewing","Stout - Milk / Sweet","6%","32",4,"2,887","3,805","3,171","7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027783,"Southern Star Brewing Company","/SouthernStarBC","Blonde Ale","5.25%","20",4,"65","96","81","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961451,"Southern Star Brewing Company","/SouthernStarBC","IPA - American","7.2%","No",3.75,"3,012","3,978","3,369","16",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632933,"Southern Star Brewing Company","/SouthernStarBC","Stout - American","9.8%","55",4.25,"3,384","5,048","3,689","1",0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
298426,"Goose Island Beer Co.","/gooseisland","Barleywine - English","13.6%","60",4.25,"44,820","67,678","49,714","126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
348850,"Prairie Artisan Ales","/PrairieArtisanAles","Stout - American Imperial / Double","13%","65",4.25,"122,666","212,884","132,553","1,171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
898122,"Community Beer Company","/CommunityBeerCompanyTexas","Stout - Russian Imperial","11.6%","70",4.25,"7,953","13,250","8,764","39",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
785793,"Buffalo Bayou Brewing","/buffbrew","Witbier","5.8%","22",3.5,"6,327","9,273","7,149","92",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
