"CheckinId","UserName","Light","Smooth","Clean","Sweet","Woody","Zippy","Strong","Hoppy","Floral","Citrus","Milk","Dark","Creamy","Mouthfeel","Soft","Boozy","Caramel","Oatmeal","Dry","Malty","Piney","Grassy","Tart","Sour","Salty","Fruity","Heat","Bitter","Coffee","Roasty","Chocolate","Juicy","Funky","Acidic","Crushable","LocationName","LocationId","BeerId","BeerName","BeerRating"
"632410078","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bilmar Beachfront Cafe","5302397","5724","Jai Alai",4.5
"632239551","harrysmith007",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sea Dog Brewing Company","6964012","128855","Monkey Fist IPA",4
"632227290","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sea Dog Brewing Company","6964012","2583864","Treasure Island Amber Ale",3.75
"632224552","harrysmith007",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sea Dog Brewing Company","6964012","1369265","Island Time Session IPA",3.5
"632220873","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Sea Dog Brewing Company","6964012","212468","Sunfish",3.75
"631678541","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bilmar Beach Resort Hotel Saint Pete Beach","1163531","5724","Jai Alai",4.5
"631649997","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Treasure Island Beach","267815","5724","Jai Alai",4.5
"631452300","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bilmar Beach Resort Hotel Saint Pete Beach","1163531","5724","Jai Alai",4.5
"631404575","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bilmar Beach Resort Hotel Saint Pete Beach","1163531","5724","Jai Alai",4.5
"630396419","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","664024","Self Starter",3
"630017795","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","334772","Oregon Alley IPA",3.5
"629637309","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","560819","Greenskeeper Session IPA",3.75
"629378070","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Great American Ball Park","35894","1496801","Third Wave IPA",4
"628745351","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","2317737","Fathom IPA",3.75
"627482233","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","355890","French Ridge IPA",3.5
"626840704","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Basil On Market","7710937","1441008","Elvis Juice",3.75
"626509777","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mount Adams Pavilion","45239","393430","Truth",4.5
"625907038","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","1931824","Handsome Bull",4.5
"625059004","harrysmith007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood Farms South Subdivision","231340","600426","Pacific Pear",3.5
