"BeerId","BreweryName","BreweryURL","Style","ABV","IBU","BeerRating","TotalRatings","TotalCheckins","UniqueCheckins","MonthlyCheckins","Light","Smooth","Clean","Sweet","Woody","Zippy","Strong","Hoppy","Floral","Citrus","Milk","Dark","Creamy","Mouthfeel","Soft","Boozy","Caramel","Oatmeal","Dry","Malty","Piney","Grassy","Tart","Sour","Salty","Fruity","Heat","Bitter","Coffee","Roasty","Chocolate","Juicy","Funky","Acidic","Crushable"
121023,"Elysian Brewing Company","/ElysianBrewing","IPA - American","8.2%","62",4,"239,307","399,688","262,597","5,683",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1738353,"Oak & Dagger","/OakandDagger","Brown Ale - Other","6.3%","No",3.75,"1,585","2,062","1,741","30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1911786,"Oak & Dagger","/OakandDagger","Porter - Baltic","8.1%","26",4,"70","84","82","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917050,"Oak & Dagger","/OakandDagger","Winter Warmer","6%","25",3.75,"44","50","50","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504431,"Wicked Weed Brewing","/WickedWeedBrewing","IPA - Imperial / Double","8.5%","100",4,"53,395","87,275","58,774","891",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1391079,"Bhramari Brewing Company","/BhramariBrewing","Sour - Ale","5.5%","No",3.75,"4,955","6,361","5,703","130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3794,"Appalachian Brewing Company","/AppalachianBrewingCompany","IPA - American","6.2%","63",3.5,"15,380","22,884","17,206","133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621657,"Armadillo Ale Works™","/ArmadilloAleWorks","Spiced / Herbed Beer","10%","70",4,"4,864","7,773","5,404","43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1857439,"Karbach Brewing Co","/karbachbrewing","Porter - Imperial / Double","12.5%","85",4,"2,052","2,460","2,297","14",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1607041,"Shannon Brewing Company ","/ShannonBrewingCo","Stout - Milk / Sweet","8%","29",4,"213","254","238","4",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5805,"Alpine Beer Company","/AlpineBeerCo","IPA - Rye","7%","80",4,"53,619","106,872","58,791","24",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1846549,"Lakewood Brewing Company","/lakewoodbrewing","Stout - Imperial Milk / Sweet","11%","56",4.5,"1,436","2,195","1,567","18",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765605,"Prairie Artisan Ales","/PrairieArtisanAles","Stout - American Imperial / Double","11%","60",4.25,"14,329","17,989","15,571","42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804436,"The Collective Brewing Project","/TheCollectiveBrewingProject","Sour - Ale","4.5%","1",4,"351","476","407","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050955,"HopFusion Ale Works","/HopFusionAleWorks","Blonde Ale","8.27%","17",3.75,"5,695","8,762","6,422","280",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050961,"HopFusion Ale Works","/HopFusionAleWorks","IPA - Black / Cascadian Dark Ale","7.81%","81",3.75,"1,333","1,748","1,515","35",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804474,"The Collective Brewing Project","/TheCollectiveBrewingProject","Sour - Ale","6.5%","16",4,"909","1,109","1,008","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302305,"The Collective Brewing Project","/TheCollectiveBrewingProject","Stout - Milk / Sweet","7.3%","65",3.75,"2,316","3,093","2,583","0",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108700,"Rahr & Sons Brewing Company","/rahrbrewing","Winter Warmer","8%","No",3.75,"3,021","3,932","3,401","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
